case_id,gate_path,traffic_class,duration_count,all_positive,cycle_sum_ns,cycle_exact
Q00,s0.eth[0].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q00,s0.eth[0].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q00,s0.eth[1].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q00,s0.eth[1].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q00,sA.eth[0].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q00,sA.eth[0].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q00,sB.eth[0].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q00,sB.eth[0].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q00,sD.eth[2].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q00,sD.eth[2].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q01,s1.eth[1].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q01,s1.eth[1].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q01,s3.eth[1].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q01,s3.eth[1].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q01,s4.eth[2].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q01,s4.eth[2].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw1.eth[0].macLayer.queue.transmissionGate[1],1,4,True,1000000,True
Q02,sw1.eth[0].macLayer.queue.transmissionGate[0],0,4,True,1000000,True
Q02,sw1.eth[2].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw1.eth[2].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw10.eth[0].macLayer.queue.transmissionGate[1],1,4,True,1000000,True
Q02,sw10.eth[0].macLayer.queue.transmissionGate[0],0,4,True,1000000,True
Q02,sw10.eth[1].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw10.eth[1].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw2.eth[0].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw2.eth[0].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw2.eth[2].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw2.eth[2].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw3.eth[0].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw3.eth[0].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw3.eth[1].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw3.eth[1].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw3.eth[2].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw3.eth[2].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw3.eth[3].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw3.eth[3].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw4.eth[0].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw4.eth[0].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw4.eth[1].macLayer.queue.transmissionGate[1],1,4,True,1000000,True
Q02,sw4.eth[1].macLayer.queue.transmissionGate[0],0,4,True,1000000,True
Q02,sw4.eth[2].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw4.eth[2].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw4.eth[3].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw4.eth[3].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw6.eth[1].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw6.eth[1].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw6.eth[4].macLayer.queue.transmissionGate[1],1,4,True,1000000,True
Q02,sw6.eth[4].macLayer.queue.transmissionGate[0],0,4,True,1000000,True
Q02,sw7.eth[0].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw7.eth[0].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw7.eth[1].macLayer.queue.transmissionGate[1],1,4,True,1000000,True
Q02,sw7.eth[1].macLayer.queue.transmissionGate[0],0,4,True,1000000,True
Q02,sw7.eth[3].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw7.eth[3].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw8.eth[1].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw8.eth[1].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw8.eth[2].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw8.eth[2].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw8.eth[3].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw8.eth[3].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw9.eth[0].macLayer.queue.transmissionGate[1],1,4,True,1000000,True
Q02,sw9.eth[0].macLayer.queue.transmissionGate[0],0,4,True,1000000,True
Q02,sw9.eth[1].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw9.eth[1].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
Q02,sw9.eth[3].macLayer.queue.transmissionGate[1],1,2,True,1000000,True
Q02,sw9.eth[3].macLayer.queue.transmissionGate[0],0,2,True,1000000,True
